Shard,rmse,mae,r2,wape,hit_rate,balanced_accuracy,macro_f1,correlation,ic,shard,fold,train_rows,test_rows,params_json
Shard 2,0.1529224651889048,0.1339551932560138,-1.9097180007788617,133.46986828652842,0.4,0.5925925925925926,0.3654524089306697,0.5769485009080322,0.5731592108919146,1,7,725,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.1790493738149039,0.1473295477036395,-0.3811322021185426,89.51654436839237,0.7,0.6888888888888889,0.6534017971758665,0.5332968096386851,0.513782372695148,1,8,785,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.1427180554416827,0.1197783430875734,-1.500794803349066,122.63867966277417,0.2833333333333333,0.532345013477089,0.2783216783216783,0.3706639593720293,0.2829119199777716,1,9,845,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.4656415635602957,0.3953670233436649,-0.6542624164330781,100.0815883442341,0.6,0.7446808510638298,0.5885714285714285,0.2287922077843699,0.2065018060572381,1,10,905,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.0997237268199073,0.0872423686934477,0.087859185246411,50.19989303426932,1.0,,1.0,0.8440659770902954,0.79294248402334,1,11,965,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.1558685614444759,0.1331001560740695,-0.5994127825281141,117.0861742728322,0.4833333333333333,0.375,0.3521421107628004,-0.4528369381312004,-0.4530702973048069,1,12,1025,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.3320265813891998,0.2938368071778307,-2.2958948452495864,96.94251981330932,0.55,0.763157894736842,0.4357366771159875,0.5429653983233672,0.558488469019172,1,13,1085,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.2752544218348057,0.2062772731026102,0.0773686460791344,91.73555796247425,0.6666666666666666,0.6685205784204672,0.6662958843159066,0.314655147608001,0.3593220338983051,1,14,1145,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.3272839253836386,0.2780128294636864,-0.3304047277084427,101.92927459420386,0.4,0.5263157894736842,0.325,0.6814433923209143,0.5656015559877745,1,15,1205,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.2323971433845073,0.1939795300950416,-1.1567995408867908,78.19919072294633,0.6,0.7966101694915254,0.4108019639934533,0.6125718191606062,0.5548763545429287,1,16,1265,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.0980015237178933,0.0788217186728253,-1.01583590321728,112.82716791227736,0.7333333333333333,0.5555555555555556,0.5547309833024119,-0.0832607388324442,-0.1332592386774104,1,17,1325,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.457457577703491,0.3884395090752898,-10.080436079651223,152.10482887023335,0.0666666666666666,,0.0625,-0.654769753629866,-0.5800500138927481,1,18,1385,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.2688638079640976,0.2088437334241343,0.3267455595653453,58.68603614539876,0.8333333333333334,0.8837209302325582,0.8205741626794258,0.7103875094123274,0.7490969713809393,1,19,1445,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.2357012406464453,0.2000181057087779,-1.2265202472660803,111.89472501821432,0.3666666666666666,0.4566284779050736,0.3602693602693603,0.0362360397673366,0.0711864406779661,1,20,1505,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.1344442316000933,0.1144507584286214,-3.45714528371092,210.7662268145611,0.7833333333333333,0.6388888888888888,0.6503809950694756,0.5241277993907817,0.3755487635454294,1,21,1565,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.0866501719866438,0.0664050844266516,-8.163677210379557,193.14932198245145,0.6,0.7037037037037037,0.5075239398084815,0.2815668409695706,0.3343150875243124,1,22,1625,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.1508720161583938,0.1079915062672719,-5.459409202209999,95.1089606551838,0.8833333333333333,0.4491525423728814,0.4690265486725664,-0.0208594911293899,0.0211725479299805,1,23,1685,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.1461056809648538,0.1264648562525356,-0.3508317294419323,93.4344103017576,0.6666666666666666,0.6335403726708074,0.6031746031746031,0.4136751962134267,0.316143373159211,1,24,1745,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
Shard 2,0.0698196803556366,0.0555349868350565,-0.8845280728512699,95.39817000448842,0.9,0.8682745825602969,0.84375,0.735744003252441,0.7761600444567937,1,25,1805,60,"{""vmd_K"": 7, ""vmd_alpha"": 1000, ""window_size"": 30, ""lstm_hidden"": 64, ""lstm_layers"": 1, ""dropout"": 0.15517742125029907, ""use_attention"": false, ""ensemble_hidden"": 64, ""lr"": 0.0009942101702315749, ""batch_size"": 32, ""epochs"": 40}"
