feature,feature_group,source,source_column,included,reason,non_null_count,coverage_rate,nunique,all_missing,constant,all_in_set,model_use,feature_label_ko,asof_rule
ext_vkospi_z60,external_market,current_pm_final,ext_vkospi_z60,True,existing_pm_final_predictor,2128,0.99812382739212,2128,False,False,all_in_finbert_60d,,,
ext_gold_z60,external_market,current_pm_final,ext_gold_z60,True,existing_pm_final_predictor,2128,0.99812382739212,2067,False,False,all_in_finbert_60d,,,
ext_gold_ret20,external_market,current_pm_final,ext_gold_ret20,True,existing_pm_final_predictor,2128,0.99812382739212,2065,False,False,all_in_finbert_60d,,,
ext_vkospi_chg20,external_market,current_pm_final,ext_vkospi_chg20,True,existing_pm_final_predictor,2128,0.99812382739212,1483,False,False,all_in_finbert_60d,,,
fx_usdkrw_ret20,external_market,current_pm_final,fx_usdkrw_ret20,True,existing_pm_final_predictor,2128,0.99812382739212,2123,False,False,all_in_finbert_60d,,,
ext_kospi_z60,external_market,current_pm_final,ext_kospi_z60,True,existing_pm_final_predictor,2128,0.99812382739212,2125,False,False,all_in_finbert_60d,,,
fx_usdkrw_z60,external_market,current_pm_final,fx_usdkrw_z60,True,existing_pm_final_predictor,2128,0.99812382739212,2123,False,False,all_in_finbert_60d,,,
ext_kospi_ret20,external_market,current_pm_final,ext_kospi_ret20,True,existing_pm_final_predictor,2128,0.99812382739212,2125,False,False,all_in_finbert_60d,,,
ext_sp500_ret20,external_market,current_pm_final,ext_sp500_ret20,True,existing_pm_final_predictor,2128,0.99812382739212,2066,False,False,all_in_finbert_60d,,,
ext_vix_z60,external_market,current_pm_final,ext_vix_z60,True,existing_pm_final_predictor,2128,0.99812382739212,2066,False,False,all_in_finbert_60d,,,
ext_vix_chg20,external_market,current_pm_final,ext_vix_chg20,True,existing_pm_final_predictor,2128,0.99812382739212,1514,False,False,all_in_finbert_60d,,,
mkt_n_vint,market_microstructure,current_pm_final,mkt_n_vint,True,existing_pm_final_predictor,2132,1.0,3,False,False,all_in_finbert_60d,,,
mkt_log_vwap,market_microstructure,current_pm_final,mkt_log_vwap,True,existing_pm_final_predictor,2132,1.0,1907,False,False,all_in_finbert_60d,,,
mkt_vwap_lag60,market_microstructure,current_pm_final,mkt_vwap_lag60,True,existing_pm_final_predictor,2072,0.9718574108818012,1847,False,False,all_in_finbert_60d,,,
pol_comp_attn,policy_compliance,current_pm_final,pol_comp_attn,True,existing_pm_final_predictor,2132,1.0,829,False,False,all_in_finbert_60d,,,
pol_comp_deadline_w,policy_compliance,current_pm_final,pol_comp_deadline_w,True,existing_pm_final_predictor,2132,1.0,46,False,False,all_in_finbert_60d,,,
compliance_deadline_calendar_weight,nlp,features/nlp_final/nlp_final_features.parquet,compliance_deadline_calendar_weight,True,materialized_row_level_nlp_feature,2132,1.0,46,False,False,all_in_finbert_60d,,,
compliance_deadline_attention,nlp,features/nlp_final/nlp_final_features.parquet,compliance_deadline_attention,True,materialized_row_level_nlp_feature,2132,1.0,829,False,False,all_in_finbert_60d,,,
news_text_v2_core_net_tightening_ratio_60d,nlp,features/nlp_final/nlp_final_features.parquet,news_text_v2_core_net_tightening_ratio_60d,True,materialized_row_level_nlp_feature,919,0.4310506566604127,720,False,False,all_in_finbert_60d,,,
news_text_v2_net_tightening_ratio_60d,nlp,features/nlp_final/nlp_final_features.parquet,news_text_v2_net_tightening_ratio_60d,True,materialized_row_level_nlp_feature,919,0.4310506566604127,721,False,False,all_in_finbert_60d,,,
news_text_v2_net_tightening_ratio_30d,nlp,features/nlp_final/nlp_final_features.parquet,news_text_v2_net_tightening_ratio_30d,True,materialized_row_level_nlp_feature,881,0.4132270168855534,662,False,False,all_in_finbert_60d,,,
news_text_v2_core_net_tightening_ratio_30d,nlp,features/nlp_final/nlp_final_features.parquet,news_text_v2_core_net_tightening_ratio_30d,True,materialized_row_level_nlp_feature,881,0.4132270168855534,647,False,False,all_in_finbert_60d,,,
news_text_v2_compliance_tightening_ratio_30d,nlp,features/nlp_final/nlp_final_features.parquet,news_text_v2_compliance_tightening_ratio_30d,True,materialized_row_level_nlp_feature,869,0.4075984990619137,279,False,False,all_in_finbert_60d,,,
