order,feature_name,label_ko,feature_group,source_kind,source_table_or_file,source_column,transform_or_definition,as_of_rule,disclosure_lag,coverage,non_null_count,unique_value_count,expected_sign,description,domain_rationale,statistical_evidence,literature_anchor
87,ext_vkospi_z60,,external_market,current_pm_final,current_pm_final,ext_vkospi_z60,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,2128,,Base all_in feature carried forward.,,,
88,ext_gold_z60,,external_market,current_pm_final,current_pm_final,ext_gold_z60,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,2067,,Base all_in feature carried forward.,,,
89,ext_gold_ret20,,external_market,current_pm_final,current_pm_final,ext_gold_ret20,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,2065,,Base all_in feature carried forward.,,,
90,ext_vkospi_chg20,,external_market,current_pm_final,current_pm_final,ext_vkospi_chg20,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,1483,,Base all_in feature carried forward.,,,
91,fx_usdkrw_ret20,,external_market,current_pm_final,current_pm_final,fx_usdkrw_ret20,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,2123,,Base all_in feature carried forward.,,,
92,ext_kospi_z60,,external_market,current_pm_final,current_pm_final,ext_kospi_z60,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,2125,,Base all_in feature carried forward.,,,
93,fx_usdkrw_z60,,external_market,current_pm_final,current_pm_final,fx_usdkrw_z60,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,2123,,Base all_in feature carried forward.,,,
94,ext_kospi_ret20,,external_market,current_pm_final,current_pm_final,ext_kospi_ret20,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,2125,,Base all_in feature carried forward.,,,
95,ext_sp500_ret20,,external_market,current_pm_final,current_pm_final,ext_sp500_ret20,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,2066,,Base all_in feature carried forward.,,,
96,ext_vix_z60,,external_market,current_pm_final,current_pm_final,ext_vix_z60,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,2066,,Base all_in feature carried forward.,,,
97,ext_vix_chg20,,external_market,current_pm_final,current_pm_final,ext_vix_chg20,existing_pm_final_predictor,,,"non_null=2128, coverage_rate=0.99812382739212",2128,1514,,Base all_in feature carried forward.,,,
98,mkt_n_vint,,market_microstructure,current_pm_final,current_pm_final,mkt_n_vint,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,3,,Base all_in feature carried forward.,,,
99,mkt_log_vwap,,market_microstructure,current_pm_final,current_pm_final,mkt_log_vwap,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,1907,,Base all_in feature carried forward.,,,
100,mkt_vwap_lag60,,market_microstructure,current_pm_final,current_pm_final,mkt_vwap_lag60,existing_pm_final_predictor,,,"non_null=2072, coverage_rate=0.9718574108818012",2072,1847,,Base all_in feature carried forward.,,,
101,pol_comp_attn,,policy_compliance,current_pm_final,current_pm_final,pol_comp_attn,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,829,,Base all_in feature carried forward.,,,
102,pol_comp_deadline_w,,policy_compliance,current_pm_final,current_pm_final,pol_comp_deadline_w,existing_pm_final_predictor,,,"non_null=2132, coverage_rate=1.0",2132,46,,Base all_in feature carried forward.,,,
103,compliance_deadline_calendar_weight,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,compliance_deadline_calendar_weight,materialized_row_level_nlp_feature,,,"non_null=2132, coverage_rate=1.0",2132,46,,Base all_in feature carried forward.,,,
104,compliance_deadline_attention,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,compliance_deadline_attention,materialized_row_level_nlp_feature,,,"non_null=2132, coverage_rate=1.0",2132,829,,Base all_in feature carried forward.,,,
105,news_text_v2_core_net_tightening_ratio_60d,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,news_text_v2_core_net_tightening_ratio_60d,materialized_row_level_nlp_feature,,,"non_null=919, coverage_rate=0.4310506566604127",919,720,,Base all_in feature carried forward.,,,
106,news_text_v2_net_tightening_ratio_60d,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,news_text_v2_net_tightening_ratio_60d,materialized_row_level_nlp_feature,,,"non_null=919, coverage_rate=0.4310506566604127",919,721,,Base all_in feature carried forward.,,,
107,news_text_v2_net_tightening_ratio_30d,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,news_text_v2_net_tightening_ratio_30d,materialized_row_level_nlp_feature,,,"non_null=881, coverage_rate=0.4132270168855534",881,662,,Base all_in feature carried forward.,,,
108,news_text_v2_core_net_tightening_ratio_30d,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,news_text_v2_core_net_tightening_ratio_30d,materialized_row_level_nlp_feature,,,"non_null=881, coverage_rate=0.4132270168855534",881,647,,Base all_in feature carried forward.,,,
109,news_text_v2_compliance_tightening_ratio_30d,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,news_text_v2_compliance_tightening_ratio_30d,materialized_row_level_nlp_feature,,,"non_null=869, coverage_rate=0.4075984990619137",869,279,,Base all_in feature carried forward.,,,
110,news_text_v2_market_stress_ratio_30d,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,news_text_v2_market_stress_ratio_30d,materialized_row_level_nlp_feature,,,"non_null=881, coverage_rate=0.4132270168855534",881,518,,Base all_in feature carried forward.,,,
111,search_kau_intensity_level,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_level,materialized_row_level_nlp_feature,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,754,,Base all_in feature carried forward.,,,
112,search_kau_intensity_shock,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_shock,materialized_row_level_nlp_feature,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,2114,,Base all_in feature carried forward.,,,
113,search_kau_intensity_percentile_60d,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_percentile_60d,materialized_row_level_nlp_feature,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,120,,Base all_in feature carried forward.,,,
114,search_kau_intensity_ratio_20d,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,search_kau_intensity_ratio_20d,materialized_row_level_nlp_feature,,,"non_null=2124, coverage_rate=0.9962476547842402",2124,2124,,Base all_in feature carried forward.,,,
115,gov_policy_tightening_index,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,gov_policy_tightening_index,materialized_row_level_nlp_feature,,,"non_null=2132, coverage_rate=1.0",2132,1545,,Base all_in feature carried forward.,,,
116,gov_compliance_policy_attention,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,gov_compliance_policy_attention,materialized_row_level_nlp_feature,,,"non_null=2132, coverage_rate=1.0",2132,2132,,Base all_in feature carried forward.,,,
117,krx_msr_event_indicator,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,krx_msr_event_indicator,materialized_row_level_nlp_feature,,,"non_null=2132, coverage_rate=1.0",2132,1,,Base all_in feature carried forward.,,,
118,news_text_tightening_minus_easing_60d,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,news_text_tightening_minus_easing_60d,materialized_row_level_nlp_feature,,,"non_null=2116, coverage_rate=0.9924953095684804",2116,67,,Base all_in feature carried forward.,,,
119,news_text_tightening_minus_easing_30d,,nlp,features/nlp_final/nlp_final_features.parquet,features/nlp_final/nlp_final_features.parquet,news_text_tightening_minus_easing_30d,materialized_row_level_nlp_feature,,,"non_null=2116, coverage_rate=0.9924953095684804",2116,53,,Base all_in feature carried forward.,,,
120,fuel_period,,fuel,raw.commodities_monthly,raw.commodities_monthly,period,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,4,,Base all_in feature carried forward.,,,
121,fuel_lng_japan,,fuel,raw.commodities_monthly,raw.commodities_monthly,lng_japan,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,127,,Base all_in feature carried forward.,,,
122,fuel_natgas_europe,,fuel,raw.commodities_monthly,raw.commodities_monthly,natgas_europe,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,127,,Base all_in feature carried forward.,,,
123,fuel_coal_newcastle,,fuel,raw.commodities_monthly,raw.commodities_monthly,coal_newcastle,db_time_indexed_asof_join,,,"non_null=2132, coverage_rate=1.0",2132,127,,Base all_in feature carried forward.,,,
124,pwr_fuel_price_nuclear_krw_per_k,,pwr,raw.epsis_fuel_cost_monthly,raw.epsis_fuel_cost_monthly,fuel_price_nuclear_krw_per_kwh,db_time_indexed_asof_join,,,"non_null=2128, coverage_rate=0.99812382739212",2128,100,,Base all_in feature carried forward.,,,
